nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[19:56:02] 📡 成功上报 -> 内存: 45.77% | CPU: 0.00%
[19:56:07] 📡 成功上报 -> 内存: 45.77% | CPU: 5.73%
[19:56:12] 📡 成功上报 -> 内存: 45.77% | CPU: 2.60%
[19:56:17] 📡 成功上报 -> 内存: 45.77% | CPU: 0.51%
[19:56:22] 📡 成功上报 -> 内存: 45.77% | CPU: 4.10%
[19:56:27] 📡 成功上报 -> 内存: 45.77% | CPU: 3.70%
[19:56:32] 📡 成功上报 -> 内存: 45.98% | CPU: 2.12%
[19:56:37] 📡 成功上报 -> 内存: 45.53% | CPU: 0.00%
[19:56:42] 📡 成功上报 -> 内存: 45.53% | CPU: 0.51%
[19:56:47] 📡 成功上报 -> 内存: 45.52% | CPU: 1.02%
[19:56:52] 📡 成功上报 -> 内存: 45.52% | CPU: 0.00%
[19:56:57] 📡 成功上报 -> 内存: 45.52% | CPU: 0.00%
[19:57:02] 📡 成功上报 -> 内存: 45.52% | CPU: 0.00%
[19:57:07] 📡 成功上报 -> 内存: 45.51% | CPU: 0.51%
[19:57:12] 📡 成功上报 -> 内存: 45.51% | CPU: 0.51%
[19:57:17] 📡 成功上报 -> 内存: 45.51% | CPU: 0.51%
[19:57:22] 📡 成功上报 -> 内存: 45.51% | CPU: 0.51%
[19:57:27] 📡 成功上报 -> 内存: 45.50% | CPU: 1.01%
[19:57:32] 📡 成功上报 -> 内存: 45.50% | CPU: 0.00%
[19:57:37] 📡 成功上报 -> 内存: 45.50% | CPU: 1.01%
[19:57:42] 📡 成功上报 -> 内存: 45.50% | CPU: 0.00%
[19:57:47] 📡 成功上报 -> 内存: 45.49% | CPU: 1.52%
[19:57:52] 📡 成功上报 -> 内存: 45.49% | CPU: 0.51%
[19:57:57] 📡 成功上报 -> 内存: 45.49% | CPU: 0.00%
[19:58:02] 📡 成功上报 -> 内存: 45.49% | CPU: 0.51%
[19:58:07] 📡 成功上报 -> 内存: 45.49% | CPU: 0.51%
[19:58:12] 📡 成功上报 -> 内存: 45.48% | CPU: 0.51%
[19:58:17] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[19:58:22] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[19:58:27] 📡 成功上报 -> 内存: 45.48% | CPU: 0.00%
[19:58:32] 📡 成功上报 -> 内存: 45.47% | CPU: 0.51%
[19:58:37] 📡 成功上报 -> 内存: 45.47% | CPU: 0.00%
[19:58:42] 📡 成功上报 -> 内存: 45.47% | CPU: 0.00%
[19:58:47] 📡 成功上报 -> 内存: 45.47% | CPU: 0.51%
[19:58:52] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
[19:58:57] 📡 成功上报 -> 内存: 45.46% | CPU: 0.00%
[19:59:02] 📡 成功上报 -> 内存: 45.46% | CPU: 0.51%
